,authors,citation_count,article_count
1405,"Bygholm, A",10,7
533,"Bal, R",10,2
3785,"Hackmann, M",10,1
7648,"Persson, K",10,1
5748,"Liebe, J",10,4
8163,"Rau, T",10,1
6185,"Maojo, V",10,7
7698,"Pfeifer, B",10,7
694,"Baylis, T",10,1
5967,"Lundgren-Nilsson, A",10,1
836,"Bernal, J",9,4
5781,"Lin, R",9,1
10554,"Vuokko, R",9,4
1415,"Bärthlein, B",9,1
8724,"Sarkar, I",9,1
11291,"Åhlfeldt, R",9,2
4627,"Joyseeree, R",9,1
2709,"Espanha, R",9,1
11173,"de Jonge, E",9,6
2416,"Dowding, D",9,3
1936,"Courtel, D",9,1
9362,"Sommer, J",9,9
3463,"Goderis, G",9,3
1592,"Catan, G",9,1
8326,"Rinott, R",9,4
2044,"Dalleau, K",9,1
9985,"Tognola, G",9,2
264,"Ammour, N",9,2
4374,"Imbriani, M",9,3
9620,"Subasic, M",9,1
9379,"Sorantin, E",9,1
7542,"Paulmann, V",9,1
37,"Abou Sabha, R",9,1
6247,"Marquardt, K",9,7
5405,"Köhler, C",9,2
9114,"Sheikhtaheri, A",9,3
3097,"Fujarski, M",9,7
10019,"Toren, O",9,1
5817,"Lipschitz, R",9,1
5918,"Loupelis, E",9,5
6949,"Nassirian, A",9,1
1241,"Brezinka, V",9,1
889,"Beyer, A",9,1
10587,"Walker, D",9,1
8841,"Schmidt, C",9,7
10382,"Veloso Mendes, R",9,1
1509,"Cantor, M",9,1
6272,"Martin, M",9,1
7166,"Nykänen, P",9,9
7900,"Poulymenopoulou, M",9,7
10289,"Van Der Veer, S",9,2
9560,"Stoicu-Tivadar, V",9,13
9294,"Smaradottir, B",9,5
4702,"Kalles, D",9,7
3676,"Gudmundsen, J",9,1
10296,"Van Engen-Verheul, M",9,2
8489,"Roth-Berghofer, T",9,1
10288,"Van Der Sijs, H",9,1
5135,"Koop, C",9,1
3656,"Grouin, C",9,1
4639,"Junger, A",9,6
10425,"Veseli, H",9,2
3347,"Ghaderzadeh, M",9,1
5347,"Kunz, A",9,1
3353,"Ghayour, M",9,1
2628,"Elberg, P",9,8
3168,"Gall, H",9,1
5869,"Lohr, C",9,3
3370,"Giannangelo, K",9,2
8884,"Schrader, T",9,2
10594,"Waltemath, D",9,11
1546,"Carmeli, B",9,5
9307,"Smith, N",9,3
3704,"Gulden, C",9,1
2336,"Diomidous, M",9,7
3430,"Giunti, G",9,7
2783,"Farkash, A",9,4
10831,"Wright, A",9,4
9500,"Stefanelli, M",9,6
6589,"Mielke, C",9,4
7755,"Pinciroli, F",9,6
3021,"Frandes, M",9,2
2928,"Fischer, P",9,1
1741,"Chinitz, D",9,1
8959,"Sciuk, G",9,3
8621,"Sakagianni, A",9,5
3982,"Heid, J",9,4
1749,"Chiu, J",9,1
8450,"Rootjes, I",9,1
9504,"Steffens, S",9,1
982,"Blasini, R",9,3
2887,"Fiene, M",9,1
980,"Blaser, J",9,2
5580,"Le Masne, Q",9,2
6737,"Moreels, S",9,3
6603,"Mikuteit, M",9,1
8094,"Rahmani, S",9,1
8605,"Sadoughi, F",9,1
6664,"Miñarro-Giménez, J",9,7
8987,"Seggewies, C",9,1
5982,"Lussier, Y",9,1
68,"Adlassnig, K",9,11
3905,"Hartel, F",9,1
5983,"Lustberg, T",9,2
1709,"Chen, X",9,5
6220,"Marin, H",9,5
8593,"Saboor, S",9,6
6401,"McBain, S",9,1
8988,"Segrave-Daly, J",9,2
10822,"Woodham, L",9,3
2960,"Foadi, N",9,1
10955,"Yu, F",9,2
4547,"Jeong, I",9,3
6806,"Mueller, H",9,1
101,"Ahmadian, L",9,3
6833,"Murata, T",9,4
2824,"Fensli, R",9,4
3407,"Gindl, S",9,1
6015,"Löffler, M",9,2
6571,"Michel, A",9,6
1109,"Bossuyt, N",9,3
9961,"Timar, B",9,2
5760,"Lilholt, P",9,4
10451,"Viernes, B",9,1
10641,"Watkins, M",9,1
2827,"Feretzakis, G",9,10
10676,"Weir, C",9,3
794,"Benson, M",9,5
2304,"Diehl, A",9,2
8666,"Sample, S",9,2
3300,"Gelman, R",9,1
3581,"Graf, N",9,2
9199,"Silva Valencia, J",9,1
9408,"Spataru, A",9,2
8941,"Schwenk, M",9,1
8424,"Rojas Mezarina, L",9,1
10458,"Viitanen, J",9,3
4963,"Kinnunen, U",9,5
59,"Adagarla, B",8,1
1210,"Bratvold, A",8,1
9693,"Swaminathan, R",8,16
8814,"Schimek, M",8,1
114,"Ainsworth, J",8,7
7807,"Plazzotta, F",8,7
10178,"Tvede, I",8,1
7455,"Papakonstantinou, D",8,5
2301,"Dicle, O",8,5
4892,"Kent, C",8,3
2062,"Dang, M",8,1
7603,"Peng, Y",8,5
2125,"De La Iglesia, D",8,2
7665,"Petersen, J",8,2
550,"Ball, M",8,2
3408,"Ginestoux, C",8,1
6170,"Mansmann, U",8,11
